               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  39,            0.084255,             0.02197,            0.015944,            0.028063,             0.33333,            0.014052,           0.0025937,            0.069551,            0.022243,            0.012165,            0.008119,            0.008119,            0.008119
                  40,            0.093708,             0.01961,            0.018115,            0.028063,             0.33333,            0.014052,           0.0025937,            0.069551,            0.022243,            0.012165,           0.0080695,           0.0080695,           0.0080695
                  41,            0.066232,             0.01689,           0.0097682,            0.028063,             0.33333,            0.014052,           0.0025937,            0.069551,            0.022243,            0.012165,             0.00802,             0.00802,             0.00802
                  42,            0.087552,            0.021488,            0.013559,            0.028063,             0.33333,            0.014052,           0.0025937,            0.069551,            0.022243,            0.012165,           0.0079705,           0.0079705,           0.0079705
                  43,            0.094171,            0.023327,            0.016745,            0.028063,             0.33333,            0.014052,           0.0025937,            0.069551,            0.022243,            0.012165,            0.007921,            0.007921,            0.007921
                  44,            0.085919,            0.017335,            0.014196,           0.0039428,             0.33333,           0.0019681,          0.00039362,            0.070864,            0.020644,            0.010568,           0.0078715,           0.0078715,           0.0078715
                  45,            0.066075,            0.022799,            0.012331,           0.0039428,             0.33333,           0.0019681,          0.00039362,            0.070864,            0.020644,            0.010568,            0.007822,            0.007822,            0.007822
                  46,            0.067007,            0.018429,            0.012268,           0.0039428,             0.33333,           0.0019681,          0.00039362,            0.070864,            0.020644,            0.010568,           0.0077725,           0.0077725,           0.0077725
                  47,            0.081119,             0.02048,            0.013224,           0.0039428,             0.33333,           0.0019681,          0.00039362,            0.070864,            0.020644,            0.010568,            0.007723,            0.007723,            0.007723
                  48,             0.07214,            0.018168,            0.011289,           0.0039428,             0.33333,           0.0019681,          0.00039362,            0.070864,            0.020644,            0.010568,           0.0076735,           0.0076735,           0.0076735
                  49,            0.072942,            0.020175,            0.011035,            0.004268,             0.33333,           0.0023421,          0.00070262,            0.070627,            0.019625,           0.0090994,            0.007624,            0.007624,            0.007624
                  50,             0.08273,            0.015698,            0.012614,            0.004268,             0.33333,           0.0023421,          0.00070262,            0.070627,            0.019625,           0.0090994,           0.0075745,           0.0075745,           0.0075745
                  51,            0.080214,            0.016611,            0.011575,            0.004268,             0.33333,           0.0023421,          0.00070262,            0.070627,            0.019625,           0.0090994,            0.007525,            0.007525,            0.007525
                  52,            0.082448,            0.016007,           0.0090773,            0.004268,             0.33333,           0.0023421,          0.00070262,            0.070627,            0.019625,           0.0090994,           0.0074755,           0.0074755,           0.0074755
                  53,             0.10271,            0.017664,            0.012879,            0.004268,             0.33333,           0.0023421,          0.00070262,            0.070627,            0.019625,           0.0090994,            0.007426,            0.007426,            0.007426
                  54,            0.093587,            0.018817,            0.013486,            0.004268,             0.33333,           0.0023421,          0.00070262,            0.070627,            0.019625,           0.0090994,           0.0073765,           0.0073765,           0.0073765
                  55,            0.074177,            0.016966,             0.01234,             0.15277,             0.33333,            0.060351,           0.0062926,            0.071075,            0.018803,           0.0078943,            0.007327,            0.007327,            0.007327
                  56,            0.091186,            0.015172,            0.010323,             0.15277,             0.33333,            0.060351,           0.0062926,            0.071075,            0.018803,           0.0078943,           0.0072775,           0.0072775,           0.0072775
                  57,             0.07356,            0.015391,            0.009144,             0.15277,             0.33333,            0.060351,           0.0062926,            0.071075,            0.018803,           0.0078943,            0.007228,            0.007228,            0.007228
                  58,            0.073862,             0.01696,           0.0097499,             0.15277,             0.33333,            0.060351,           0.0062926,            0.071075,            0.018803,           0.0078943,           0.0071785,           0.0071785,           0.0071785
                  59,            0.085114,            0.020137,            0.012184,             0.15277,             0.33333,            0.060351,           0.0062926,            0.071075,            0.018803,           0.0078943,            0.007129,            0.007129,            0.007129
                  60,            0.074056,            0.015606,           0.0092171,            0.013969,             0.33333,            0.011058,           0.0023916,            0.069301,            0.018671,           0.0068108,           0.0070795,           0.0070795,           0.0070795
                  61,            0.050329,              0.0115,           0.0039908,            0.013969,             0.33333,            0.011058,           0.0023916,            0.069301,            0.018671,           0.0068108,             0.00703,             0.00703,             0.00703
                  62,            0.084368,            0.017843,           0.0091042,            0.013969,             0.33333,            0.011058,           0.0023916,            0.069301,            0.018671,           0.0068108,           0.0069805,           0.0069805,           0.0069805
                  63,             0.10167,            0.016367,            0.010923,            0.013969,             0.33333,            0.011058,           0.0023916,            0.069301,            0.018671,           0.0068108,            0.006931,            0.006931,            0.006931
                  64,             0.09863,            0.018847,            0.010806,            0.013969,             0.33333,            0.011058,           0.0023916,            0.069301,            0.018671,           0.0068108,           0.0068815,           0.0068815,           0.0068815
                  65,            0.098942,            0.018338,            0.010185,           0.0079901,             0.33333,           0.0033526,           0.0020116,            0.068815,            0.018224,           0.0056605,            0.006832,            0.006832,            0.006832
                  66,            0.066542,            0.016436,            0.007792,           0.0079901,             0.33333,           0.0033526,           0.0020116,            0.068815,            0.018224,           0.0056605,           0.0067825,           0.0067825,           0.0067825
                  67,            0.082364,            0.019758,           0.0081399,           0.0079901,             0.33333,           0.0033526,           0.0020116,            0.068815,            0.018224,           0.0056605,            0.006733,            0.006733,            0.006733
                  68,            0.093171,            0.017619,           0.0097028,           0.0079901,             0.33333,           0.0033526,           0.0020116,            0.068815,            0.018224,           0.0056605,           0.0066835,           0.0066835,           0.0066835
